
Network Stats for the last 176838 seconds:

Total Sent Spatial Packets: 50103730
Total Requested to Send Spatial Packets: 131282175
Total Sent Actor Motion Hints Packets: 3627069
Percentage of Usual Bandwidth Used: 40.14%


Total Sent: 159970141, 0B (1338.27MB)
152 EmoteListPacket                    207B, Num 3, Avg 69B
5   DisconnectPacket                   180B, Num 5, Avg 36B
337 VoxelShapesPacket                  150B, Num 25, Avg 6B
318 MovementEffectPacket               123B, Num 13, Avg 9B
338 CameraSplinePacket                 75B, Num 25, Avg 3B
160 PlayerFogPacket                    75B, Num 25, Avg 3B
59  SetCommandsEnabledPacket           50B, Num 25, Avg 2B
70  ChunkRadiusUpdatedPacket           50B, Num 25, Avg 2B
60  SetDifficultyPacket                50B, Num 25, Avg 2B
317 ContainerRegistryCleanupPacket     9B, Num 1, Avg 9B

Total Received: 3923856, 0B (260.72MB)
144 PlayerAuthInputPacket              206.22MB, Num 2251535, Avg 96B
1   LoginPacket                        14.53MB, Num 25, Avg 0.58MB
135 ClientCacheBlobStatusPacket        12.24MB, Num 123299, Avg 104B
74  BossEventPacket                    10.54MB, Num 1118789, Avg 9B
175 SubChunkRequestPacket              9.44MB, Num 173569, Avg 57B
30  InventoryTransactionPacket         3.52MB, Num 45080, Avg 81B
44  AnimatePacket                      1.47MB, Num 103616, Avg 14B
31  MobEquipmentPacket                 1.39MB, Num 30378, Avg 47B
33  InteractPacket                     403.76KB, Num 42858, Avg 9B
93  PlayerSkinPacket                   321.31KB, Num 1, Avg 321.31KB
147 ItemStackRequestPacket             313.16KB, Num 12115, Avg 26B
36  PlayerActionPacket                 198.62KB, Num 13071, Avg 15B
322 ClientMovementPredictionSyncPacket 50.76KB, Num 854, Avg 60B
101 ModalFormResponsePacket            27.45KB, Num 2326, Avg 12B
77  CommandRequestPacket               23.01KB, Num 523, Avg 45B
27  ActorEventPacket                   15.02KB, Num 1821, Avg 8B
56  BlockActorDataPacket               12.84KB, Num 39, Avg 337B
47  ContainerClosePacket               10.52KB, Num 2694, Avg 4B
9   TextPacket                         3.25KB, Num 61, Avg 54B
321 ClientCameraAimAssistPacket        3.23KB, Num 661, Avg 5B
184 RequestAbilityPacket               1.60KB, Num 182, Avg 9B
68  MapInfoRequestPacket               0.72KB, Num 67, Avg 11B
307 SetPlayerInventoryOptionsPacket    364B, Num 52, Avg 7B
152 EmoteListPacket                    209B, Num 3, Avg 69B
8   ResourcePackClientResponsePacket   200B, Num 50, Avg 4B
312 ServerboundLoadingScreenPacket     200B, Num 50, Avg 4B
193 RequestNetworkSettingsPacket       150B, Num 25, Avg 6B
113 SetLocalPlayerAsInitializedPacket  93B, Num 25, Avg 3B
129 ClientCacheStatusPacket            75B, Num 25, Avg 3B
69  RequestChunkRadiusPacket           75B, Num 25, Avg 3B
141 AnvilDamagePacket                  72B, Num 8, Avg 9B
45  RespawnPacket                      60B, Num 4, Avg 15B
4   ClientToServerHandshakePacket      25B, Num 25, Avg 1B

